District,Latitude (generated),Longitude (generated),Active_Cases,Confirmed_Cases,Death_Toll,Recovered_Cases
Shahid Bhagat Singh Nagar,31.1257468,75.8736949,222,1052,32,798
Shahdol,23.28,81.35,381,1061,12,668
Serchhip,23.3,92.833,11,24,0,13
Seoni,22.08,79.53,143,465,6,316
Sehore,23.2,77.08,415,1136,24,697
Sawai Madhopur,26.0211,76.3536,117,717,18,582
Satna,24.5822,80.8248,189,948,23,736
Satara,17.6833,73.9833,8849,25980,607,16524
Saran,25.9207015,84.5227709,401,4997,27,4569
Saraikela-Kharsawan,22.8234951,85.5964715,784,2187,7,1396
Sant Kabir Nagar,26.7327221,83.1392372,226,2285,28,2031
Sangrur,30.2333,75.8333,471,2895,116,2308
Sangli,16.8667,74.5667,10418,26646,809,15419
Sambhal,28.58,78.55,263,1934,36,1635
Sambalpur,21.45,83.9667,906,4244,17,3321
Samba,32.566,75.116,500,1135,8,627
Samastipur,25.8608,85.7822,295,3863,26,3542
Salem,11.65,78.1667,2162,15066,240,12664
Saitual,23.9707884,92.5744968,7,11,0,4
Saiha,22.48,92.97,4,31,0,27
Sahibganj,25.25,87.65,121,1092,9,962
Saharsa,25.88,86.6,534,4157,7,3616
Saharanpur,29.964,77.546,1635,5938,81,4222
Sagar,23.8374817,78.7136072,470,1691,75,1146
Sabarkantha,23.8671806,72.5129882,188,886,10,688
S.P.S. Nellore,14.4333,79.9667,4523,44950,398,40029
S.A.S. Nagar,30.6983052,76.6273402,2555,7171,139,4477
Rupnagar,30.9664,76.5331,380,1408,45,983
Rudraprayag,30.285391,78.9709604,228,520,1,291
Rohtas,24.6280589,83.9155269,293,4880,34,4553
Rohtak,28.9,76.5667,1096,4404,46,3262
Ribhoi,25.89,91.8271,152,360,3,205
Rewari,28.1833,76.6167,564,4669,26,4079
Rewa,24.5167,81.2833,410,1210,18,782
Reasi,33.08,74.83,255,632,3,374
Rayagada,19.1749816,83.3918093,641,6301,34,5626
Ratnagiri,16.9833,73.3,2787,6533,185,3561
Ratlam,23.3167,75.0667,289,1544,31,1224
Ranipet,12.9533913,79.2815916,637,12287,145,11505
