District,Latitude (generated),Longitude (generated),Active_Cases,Confirmed_Cases,Death_Toll,Recovered_Cases
Chandrapur,19.95,79.3,3240,6028,62,2726
Chandigarh Region,30.7353,76.7911,2994,8592,96,5502
Chandauli,25.2569,83.2678,588,2701,24,2089
Champhai,23.4731343,93.3013776,2,17,0,15
Champawat,29.3349395,80.0833281,270,586,2,314
Chamoli,30.42,79.33,171,562,0,391
Chamba,32.57,76.13,138,644,5,501
Chamarajanagara,11.9236,76.94,469,3114,56,2589
Buxar,25.5605,83.9805,176,3217,10,3031
Burhanpur,21.3,76.2333,48,627,25,554
Bundi,25.4383,75.6372,319,1012,5,688
Buldhana,20.5282269,76.1690389,1991,5615,97,3527
Bulandshahr,28.4,77.85,637,3049,50,2362
Budgam,34.0178,74.7197,1477,3947,73,2397
Budaun,28.05,79.12,455,2232,22,1755
BSF Camp,,,0,85,0,85
Boudh,20.8436748,84.3100553,344,1142,1,797
Botad,22.17,71.67,153,629,5,471
Bokaro,23.783,85.966,227,3168,20,2921
Birbhum,24.3580786,87.8373133,390,2860,22,2448
Bilaspur,22.05728,82.170952,3511,5535,64,1960
Bikaner,28.0181,73.3169,360,5355,96,4899
Bijnor,29.37,78.13,478,2469,28,1963
Bijapur,16.8244,75.7154,511,1066,6,549
Bidar,17.9,77.55,566,5545,146,4833
Bhopal,23.25,77.4167,1738,13646,334,11574
Bhojpur,25.5832878,84.1239792,145,3889,29,3715
Bhiwani,28.7833,76.1333,367,2110,22,1721
Bhind,26.5622,78.7911,81,731,5,645
Bhilwara,25.35,74.6333,273,2690,17,2400
Bhavnagar,21.765,72.1369,403,3543,52,3088
Bharuch,21.7,72.9667,196,1893,16,1681
Bharatpur,27.2172,77.49,135,3968,73,3760
Bhandara,21.1667,79.65,1883,3154,51,1220
Bhagalpur,25.25,87.0167,588,6701,55,6058
Bhadrak,21.0528,86.52,757,4083,14,3312
Bhadohi,25.3898968,82.5508402,260,1395,11,1124
Betul,21.92,77.9,421,1228,27,780
Bengaluru Urban,12.9412605,77.3016439,39682,176712,2514,134516
Bengaluru Rural,13.1811978,77.2950139,1816,6993,60,5117
Belagavi,15.8667,74.5,2451,16785,244,14090
Begusarai,25.42,86.13,227,5903,23,5653
Beed,18.9964693,75.7316342,2452,7400,199,4749
Bathinda,30.23,74.95,1408,4201,75,2718
Basti,26.8,82.7167,454,3038,60,2524
Bastar,19.2073273,81.9251137,682,1647,5,960
Barwani,22.03,74.9,219,1474,16,1239
Barnala,30.3833,75.55,392,1496,32,1072
Barmer,25.75,71.3833,84,2510,26,2400
Bargarh,21.3333,83.6167,1178,4575,9,3388
Bareilly,28.364,79.415,1923,8706,128,6655
Baran,25.1,76.5167,246,1058,13,799
Baramulla,34.2,74.34,958,3517,114,2445
Barabanki,26.92,81.22,1118,5221,43,4060
Banswara,23.5408,74.4425,173,939,7,759
Bankura,23.25,87.0667,709,4082,32,3341
Banka,24.88,86.92,212,2001,8,1781
Bandipora,34.4368973,74.5786142,952,2921,29,1940
Banda,25.4807,80.331902,402,1478,15,1061
Banaskantha,24.3073759,72.3495197,0,1445,20,1425
Bametara,21.7130974,81.5267944,261,776,7,508
Balrampur,27.43,82.18,389,1846,22,1435
Baloda Bazar,21.67,82.17,822,1843,12,1009
Balod,20.73,81.2,676,1209,1,532
Ballia,25.7625,84.1519,832,5067,62,4173
Ballari,15.1357664,76.8715732,4776,27131,353,22002
Balasore,21.4894039,86.8841398,1104,5460,20,4336
Balangir,20.7167,83.4833,969,3105,12,2124
Balaghat,21.8,80.18,233,577,1,343
Bahraich,27.5742,81.5958,397,2641,44,2200
Baghpat,28.95,77.22,190,1137,21,926
Bageshwar,29.8414745,79.7575556,134,385,1,250
Bagalkote,16.1833,75.7,1353,8389,88,6948
Azamgarh,26.06,83.19,580,3964,62,3322
Ayodhya,26.8,82.2,956,4780,57,3767
Aurangabad,19.876165,75.343315,7732,33628,780,25116
Auraiya,26.4631,79.5117,357,1780,20,1403
Ashoknagar,24.5728549,77.7166949,77,331,12,242
Arwal,25.2427596,84.6568433,125,1560,7,1428
Ariyalur,11.1511,79.0761,166,3315,37,3112
Aravalli,23.4815797,73.0341517,112,500,24,364
Araria,26.15,87.52,687,4361,14,3660
Anuppur,23.1,81.68,104,605,6,495
Anjaw,28.36,96.45,27,78,0,51
Angul,20.836447,85.1056116,824,2049,4,1221
Anantnag,33.73,75.15,726,2976,54,2196
Anantapur,14.6833,77.6,3502,50088,420,46166
Anand,22.556,72.951,73,941,16,852
Amroha,28.9044,78.4675,447,2211,23,1741
Amritsar,31.6167,74.85,1633,6969,269,5067
Amreli,21.6167,71.2333,372,1694,23,1299
Amravati,20.9333,77.75,1966,8885,196,6723
Amethi,26.169,81.7993,554,2024,15,1455
Ambedkar Nagar,27.8107289,79.7466709,280,1212,24,908
Ambala,30.3786,76.7725,1264,6198,62,4872
Alwar,27.5625,76.625,527,9238,31,8680
Almora,29.62,79.67,119,882,4,759
Alirajpur,22.305455,74.3454265,202,875,10,663
Alipurduar,26.5,89.52,484,3428,33,2911
Aligarh,27.88,78.08,1758,6685,31,4896
Alappuzha,9.49,76.34,2154,8368,18,6196
Akola,20.7333,77,1850,5665,182,3633
Ajmer,26.27,74.42,375,5473,88,5010
Aizawl,23.7333,92.7167,468,983,0,515
Airport Quarantine,,,37,1823,1,1785
Ahmednagar,19.0833,74.7333,7447,30759,468,22844
Ahmedabad,23.03,72.58,4177,34072,1765,28130
Agra,27.18,78.02,872,4276,113,3291
Agar Malwa,23.7114157,76.0010054,49,309,6,254
