,District,Confirmed_Cases,Recovered_Cases,Death_Toll,Active_Cases
177,Yamunanagar,3012,2347,42,623
178,Bokaro,3168,2921,20,227
179,Chatra,1063,770,5,288
180,Deoghar,1880,1626,14,240
181,Dhanbad,4154,3113,48,993
182,Dumka,831,637,6,188
183,East Singhbhum,11002,8052,250,2700
184,Garhwa,1615,1433,7,175
185,Giridih,2822,2491,9,322
186,Godda,1069,929,6,134
187,Gumla,1356,935,2,419
188,Hazaribagh,2666,1960,21,685
189,Jamtara,575,520,1,54
190,Khunti,1139,878,3,258
191,Koderma,2181,1591,17,573
192,Latehar,1254,1032,1,221
193,Lohardaga,830,664,5,161
194,Pakur,589,517,1,71
195,Palamu,2084,1981,8,95
196,Ramgarh,2954,1939,15,1000
197,Ranchi,13912,10297,92,3523
198,Sahibganj,1092,962,9,121
199,Saraikela-Kharsawan,2187,1396,7,784
200,Simdega,1433,1053,4,376
201,West Singhbhum,2583,2053,20,510
202,Anantnag,2976,2196,54,726
203,Bandipora,2921,1940,29,952
204,Baramulla,3517,2445,114,958
205,Budgam,3947,2397,73,1477
206,Doda,1053,462,15,576
207,Ganderbal,2205,1642,26,537
208,Jammu,8998,2882,99,6017
209,Kathua,1422,924,13,485
210,Kishtwar,681,321,3,357
211,Kulgam,2108,1934,40,134
212,Kupwara,2906,1915,58,933
213,Pulwama,3274,2722,62,490
214,Punch,995,432,6,557
215,Rajouri,1626,856,18,752
216,Ramban,865,653,3,209
217,Reasi,632,374,3,255
218,Samba,1135,627,8,500
219,Shopiyan,1892,1703,29,160
220,Srinagar,11942,9784,255,1903
221,Udhampur,1559,853,6,700
222,Bagalkote,8389,6948,88,1353
223,Ballari,27131,22002,353,4776
224,Belagavi,16785,14090,244,2451
225,Bengaluru Rural,6993,5117,60,1816
226,Bengaluru Urban,176712,134516,2514,39682
227,Bidar,5545,4833,146,566
228,Chamarajanagara,3114,2589,56,469
229,Chikkaballapura,5976,4887,73,1016
230,Chikkamagaluru,6533,4677,104,1752
231,Chitradurga,5259,3682,33,1544
232,Dakshina Kannada,18092,13608,450,4034
233,Davanagere,13627,10648,227,2752
234,Dharwad,14681,11952,431,2298
235,Gadag,7692,6582,111,999
236,Hassan,12542,9042,236,3264
237,Haveri,6981,5089,132,1760
238,Kalaburagi,14760,12118,248,2394
239,Kodagu,2045,1625,27,393
240,Kolar,4608,3795,77,736
241,Koppal,9326,7431,194,1701
242,Mandya,8570,6531,87,1952
243,Mysuru,26740,19579,615,6546
244,Raichur,9628,7961,127,1540
245,Ramanagara,4409,3726,39,644
246,Shivamogga,12804,9121,207,3476
247,Tumakuru,9601,6718,199,2684
248,Udupi,14087,12043,129,1915
249,Uttara Kannada,7339,5149,85,2105
250,Vijayapura,8057,7194,138,725
251,Yadgir,7203,5943,48,1212
252,Alappuzha,8368,6196,18,2154
253,Ernakulam,9617,6442,50,3125
254,Idukki,2360,1835,3,522
255,Kannur,6511,4315,36,2160
256,Kasaragod,7421,5440,38,1943
257,Kollam,7296,4874,31,2391
258,Kottayam,6508,4270,3,2235
259,Kozhikode,9270,6567,44,2659
260,Malappuram,13565,10300,39,3226
261,Palakkad,6619,5047,12,1560
262,Pathanamthitta,4948,3829,3,1116
263,Thiruvananthapuram,22278,16675,156,5447
264,Thrissur,7122,4876,29,2217
265,Wayanad,2151,1675,5,471
266,Kargil,1527,1065,26,436
267,Leh,1972,1452,18,502
268,Ahmednagar,30759,22844,468,7447
269,Akola,5665,3633,182,1850
270,Amravati,8885,6723,196,1966
271,Aurangabad,30284,22097,772,7415
272,Beed,7400,4749,199,2452
273,Bhandara,3154,1220,51,1883
274,Buldhana,5615,3527,97,1991
275,Chandrapur,6028,2726,62,3240
276,Dhule,11001,9033,281,1687
277,Gadchiroli,1310,966,2,342
278,Gondia,3444,2169,38,1237
279,Hingoli,2200,1612,48,540
280,Jalgaon,38669,28172,1057,9440
281,Jalna,6169,4184,172,1813
282,Kolhapur,33745,23220,1017,9508
283,Latur,13037,8122,371,4544
284,Mumbai,173596,134066,8230,31300
285,Nagpur,53853,31428,1446,20979
286,Nanded,11835,5665,314,5856
287,Nandurbar,4131,2921,106,1104
288,Nashik,57037,43918,1071,12048
289,Osmanabad,9212,6358,244,2610
290,Palghar,31682,25031,729,5922
291,Parbhani,4306,2789,128,1389
292,Pune,239481,154441,4888,80152
293,Raigad,42813,31883,943,9987
294,Ratnagiri,6533,3561,185,2787
295,Sangli,26646,15419,809,10418
296,Satara,25980,16524,607,8849
297,Sindhudurg,2527,1363,42,1122
298,Solapur,28342,20005,986,7351
299,Thane,160683,127082,4361,29240
300,Wardha,2355,1593,26,736
301,Washim,2928,2230,52,646
302,Yavatmal,5434,3571,122,1741
303,East Garo Hills,104,87,0,17
304,East Jaintia Hills,246,43,0,203
305,East Khasi Hills,2534,1323,24,1187
306,North Garo Hills,32,19,0,13
307,Ribhoi,360,205,3,152
308,South Garo Hills,38,18,0,20
309,South West Garo Hills,24,14,0,10
310,South West Khasi Hills,6,1,0,5
311,West Garo Hills,587,403,1,183
312,West Jaintia Hills,41,27,0,14
313,West Khasi Hills,65,50,1,14
314,Agar Malwa,309,254,6,49
315,Alirajpur,875,663,10,202
316,Anuppur,605,495,6,104
317,Ashoknagar,331,242,12,77
318,Balaghat,577,343,1,233
319,Barwani,1474,1239,16,219
320,Betul,1228,780,27,421
321,Bhind,731,645,5,81
322,Bhopal,13646,11574,334,1738
323,Burhanpur,627,554,25,48
324,Chhatarpur,895,727,21,147
325,Chhindwara,764,506,16,242
326,Damoh,1114,709,20,385
327,Datia,1009,820,11,178
328,Dewas,1000,785,19,196
329,Dhar,1497,993,20,484
330,Dindori,283,187,0,96
331,Guna,510,349,12,149
332,Gwalior,8029,5792,89,2148
333,Harda,666,507,14,145
334,Hoshangabad,972,601,24,347
335,Indore,17547,11782,467,5298
336,Jabalpur,6643,5294,114,1235
337,Jhabua,1043,823,11,209
338,Katni,757,536,11,210
339,Khandwa,1222,983,28,211
340,Khargone,2525,1926,34,565
341,Mandla,392,306,5,81
342,Mandsaur,1197,971,14,212
343,Morena,2311,2148,18,145
344,Narsinghpur,1344,823,7,514
345,Neemuch,1585,1175,27,383
346,Niwari,254,211,1,42
347,Panna,382,305,1,76
348,Raisen,998,758,19,221
349,Rajgarh,1058,871,15,172
350,Ratlam,1544,1224,31,289
351,Rewa,1210,782,18,410
352,Sagar,1691,1146,75,470
353,Satna,948,736,23,189
354,Sehore,1136,697,24,415
355,Seoni,465,316,6,143
356,Shahdol,1061,668,12,381
357,Shajapur,697,494,8,195
358,Sheopur,692,536,4,152
359,Shivpuri,1701,1216,15,470
360,Sidhi,546,346,2,198
361,Singrauli,502,393,8,101
362,Tikamgarh,600,458,18,124
363,Ujjain,2310,1773,84,453
364,Umaria,247,147,5,95
365,Vidisha,1303,1004,27,272
366,Aizawl,983,515,0,468
367,Champhai,17,15,0,2
368,Hnahthial,4,0,0,4
369,Khawzawl,4,3,0,1
